epoch	time	lr	loss	cross_entropy	val_loss	val_cross_entropy
1	89.343465791	0.001	1.7152078526377679	1.7152078526377679	1.416166447043419	1.416166447043419
2	89.06166612499999	0.001	1.3413731631153822	1.3413731631153822	1.254297517555952	1.254297517555952
3	89.29975224999998	0.001	1.1988646746954321	1.1988646746954321	1.1832757417559623	1.1832757417559623
4	89.982761375	0.001	1.1007828385457397	1.1007828385457397	1.1406355801582337	1.1406355801582337
5	88.957414916	0.001	1.030473341402635	1.030473341402635	1.1704820119151846	1.1704820119151846
6	88.50684558299997	0.001	0.9715838940343261	0.9715838940343261	1.0888655802115799	1.0888655802115799
7	88.52659370799995	0.001	0.9275771208181233	0.9275771208181233	1.092385965951532	1.092385965951532
8	88.51002612499997	0.001	0.8832971871056408	0.8832971871056408	1.0917087208298035	1.0917087208298035
9	88.81238974999997	0.001	0.8505938071988802	0.8505938071988802	1.123881306965463	1.123881306965463
10	88.53089987500005	0.001	0.8177246025277011	0.8177246025277011	1.1420272239085754	1.1420272239085754
11	88.278646708	0.001	0.7992516947278101	0.7992516947278101	1.1749736587123945	1.1749736587123945
12	88.37502354200012	0.001	0.7701185147700086	0.7701185147700086	1.1508902527403087	1.1508902527403087
13	88.53961545800007	0.001	0.7553958608324732	0.7553958608324732	1.207462104043085	1.207462104043085
14	94.03425537500016	0.001	0.7273018502123095	0.7273018502123095	1.2239927414293401	1.2239927414293401
15	98.18062104199998	0.001	0.7186458162356156	0.7186458162356156	1.272479307640763	1.272479307640763
16	97.19788095800004	0.001	0.6969146287299762	0.6969146287299762	1.240938315119229	1.240938315119229
17	95.92276083399997	0.001	0.6894053959393652	0.6894053959393652	1.3284537128575962	1.3284537128575962
18	96.53484687499986	0.001	0.6771071841849975	0.6771071841849975	1.3853089341043598	1.3853089341043598
19	97.04283125000006	0.001	0.6685224750388351	0.6685224750388351	1.3500038061716342	1.3500038061716342
20	96.9006086249999	0.001	0.6627632730326354	0.6627632730326354	1.3985189680548213	1.3985189680548213
