epoch	time	lr	loss	cross_entropy	val_loss	val_cross_entropy
1	23.713434166999996	0.001	1.7234421715676784	1.7234421715676784	1.4050095085382461	1.4050095085382461
2	23.663750167000003	0.001	1.3443950237822533	1.3443950237822533	1.2932348212569953	1.2932348212569953
3	22.442330416999994	0.001	1.2108453360848128	1.2108453360848128	1.1856452535897493	1.1856452535897493
4	23.595413374999964	0.001	1.1204705109630526	1.1204705109630526	1.2561788271546364	1.2561788271546364
5	23.145981791999986	0.001	1.0485405518683046	1.0485405518683046	1.1448176623612643	1.1448176623612643
6	23.65341808300002	0.001	0.9935857841946744	0.9935857841946744	1.076527928389795	1.076527928389795
7	23.831359082999995	0.001	0.9410108614370041	0.9410108614370041	1.1235976977467537	1.1235976977467537
8	23.160701625	0.001	0.8997006912069488	0.8997006912069488	1.113972589290142	1.113972589290142
9	23.19255508399999	0.001	0.8647042443998157	0.8647042443998157	1.0999519947849214	1.0999519947849214
10	22.98192849999998	0.001	0.8285643913139635	0.8285643913139635	1.124531721233204	1.124531721233204
